date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2/9/2021,13195,484812,11366,227246,271,12136,0,8679,
20/3/2020,5,67,0,0,0,0,1,17,
7/4/2020,8,257,0,0,0,0,27,123,
13/6/2020,1,345,1,11,0,0,0,325,
21/8/2021,13427,334937,10153,175316,0,7538,0,8679,
9/11/2021,8071,1213784,0,0,87,22674,0,8679,
1/12/2021,14215,1246816,0,0,191,25427,0,0,
5/5/2021,26,3024,35,351,0,35,0,2560,
22/7/2021,1,57769,4215,61144,0,245,0,8679,
11/12/2021,15812,1389774,0,0,208,27572,0,0,
9/12/2021,15026,1359557,0,0,253,27148,0,0,
16/9/2020,0,1070,0,82,0,35,5,939,
8/5/2021,93,3231,86,523,0,35,42,2602,
24/9/2020,0,1072,0,0,0,35,0,990,
29/11/2021,13466,1218932,0,0,172,25040,0,0,
10/2/2021,23,2094,41,599,0,35,6,1480,
13/3/2021,3,2555,3,408,0,35,0,2086,
17/2/2021,18,2331,18,713,0,35,7,1580,
12/9/2020,0,1068,0,104,0,35,8,913,
16/7/2021,7313,38632,2028,33393,18,225,64,8679,
21/4/2021,5,2808,11,230,0,35,0,2490,
7/2/2021,20,2003,16,492,0,35,4,1472,
14/12/2021,14908,1434070,0,0,250,28286,0,0,
6/10/2020,1,1104,1,36,0,35,0,1024,
15/8/2021,9564,273349,4989,165048,336,5771,0,8679,
30/7/2021,8594,135700,4638,98785,301,1161,0,8679,
7/5/2021,47,3139,48,458,0,35,0,2560,
28/3/2020,5,117,0,0,0,0,1,21,
15/6/2020,0,345,0,11,0,0,0,325,
8/5/2020,0,301,0,47,0,0,8,250,
16/1/2021,1,1540,1,122,0,35,0,1380,
3/5/2020,1,284,1,52,0,0,0,232,
9/8/2020,30,844,29,433,1,11,0,397,
6/1/2021,1,1508,0,113,0,35,14,1353,
11/1/2021,1,1518,1,115,0,35,0,1361,
8/7/2021,0,21571,960,12830,7,104,0,8051,
1/6/2021,251,7573,186,4342,1,48,13,3041,
29/12/2021,13741,1680565,0,0,243,31764,0,0,
21/12/2020,1,1417,1,107,0,35,0,1269,
4/8/2020,30,677,28,286,2,8,4,380,
2/7/2020,0,361,0,15,0,0,4,342,
6/3/2021,13,2509,15,531,0,35,0,1920,
19/4/2021,6,2793,7,223,0,35,0,2475,
12/4/2020,3,274,0,0,0,0,0,148,
21/2/2021,15,2385,0,627,0,35,90,1717,
16/4/2020,5,281,2,92,0,0,10,181,
6/6/2021,206,8748,125,5108,0,53,58,3366,
19/6/2020,7,355,7,23,0,0,1,328,
17/9/2020,3,1072,2,81,0,35,4,942,
9/9/2021,12389,575548,3373,221706,275,14422,0,8679,
26/6/2021,738,15282,705,8488,0,74,188,6171,
3/10/2021,5347,851984,0,0,114,19712,0,8679,
29/10/2020,4,1182,4,76,0,35,0,1063,
18/11/2020,12,1304,12,138,0,35,0,1124,
1/1/2022,14652,1731945,0,0,216,32489,0,0,
8/10/2021,4746,874406,0,0,121,20333,0,8679,
10/9/2020,0,1068,0,127,0,35,3,897,
29/7/2021,7543,127106,8505,103215,233,861,0,8679,
